Domain,Company Name,LinkedIn URL,Official Email ID (To Be Filled)
Ideathon,Zoho,https://www.linkedin.com/company/zoho,sales@zohocorp.com
Ideathon,Freshworks,https://www.linkedin.com/company/freshworks-inc,sales@freshworks.com
Ideathon,Razorpay,https://www.linkedin.com/company/razorpay,nan
Ideathon,Paytm,https://www.linkedin.com/company/paytm,nan
Ideathon,CRED,https://www.linkedin.com/company/cred,https://partner.cred.club/join?lob=marketing
Ideathon,PhonePe,https://www.linkedin.com/company/phonepe,https://www.phonepe.com/business-solutions/
Ideathon,Google,https://www.linkedin.com/company/google,https://about.google/contact-google/??
Ideathon,Microsoft,https://www.linkedin.com/company/microsoft,msindia@microsoft.com
Ideathon,Amazon,https://www.linkedin.com/company/amazon,https://www.amazon.in/gp/help/customer/display.html%E2%81%A0%EF%BF%BD
Ideathon,Flipkart,https://www.linkedin.com/company/flipkart,business@flipkart.com
Ideathon,Meesho,https://www.linkedin.com/company/meesho,support@meesho.com
Ideathon,Swiggy,https://www.linkedin.com/company/swiggy,business@swiggy.in
Ideathon,Zomato,https://www.linkedin.com/company/zomato,partnerships@zomato.com
Ideathon,UpGrad,https://www.linkedin.com/company/upgrad-com,partnerships@upgrad.com
Ideathon,Unacademy,https://www.linkedin.com/company/unacademy,partnerships@unacademy.com
Ideathon,Scaler,https://www.linkedin.com/company/scaleracademy,partnerships@scaler.com
Ideathon,Y Combinator,https://www.linkedin.com/company/y-combinator,info@ycombinator.com
Ideathon,Sequoia Capital,https://www.linkedin.com/company/sequoia-capital,india@sequoiacap.com
Ideathon,Accel,https://www.linkedin.com/company/accel-partners,india@accel.com
Ideathon,NASSCOM,https://www.linkedin.com/company/nasscom,corporate@nasscom.in
Hardware,Texas Instruments,https://www.linkedin.com/company/texas-instruments,india@ti.com
Hardware,STMicroelectronics,https://www.linkedin.com/company/stmicroelectronics,marketing@st.com
Hardware,Bosch India,https://www.linkedin.com/company/bosch-india,contact@in.bosch.com
Hardware,Intel,https://www.linkedin.com/company/intel-corporation,india@intel.com
Hardware,Qualcomm,https://www.linkedin.com/company/qualcomm,info@qualcomm.com
Hardware,NVIDIA,https://www.linkedin.com/company/nvidia,marketing@nvidia.com
Hardware,AMD,https://www.linkedin.com/company/amd,contact@amd.com
Hardware,ARM,https://www.linkedin.com/company/arm,info@arm.com
Hardware,Siemens,https://www.linkedin.com/company/siemens,info.in@siemens.com
Hardware,Schneider Electric,https://www.linkedin.com/company/schneider-electric,india@se.com
